feature,global_mean,global_var,mean_cluster_0,var_cluster_0,mean_cluster_1,var_cluster_1,mean_cluster_2,var_cluster_2,mean_cluster_3,var_cluster_3,mean_cluster_4,var_cluster_4,mean_cluster_5,var_cluster_5
pozostałe przychody/koszty,2.5326621604035035e-17,1.0002458814851247,-0.06546416617760821,0.0030654955481461766,-0.004722676915852677,0.02476768327344598,0.13146328461094545,5.600924569401602,0.002684193184574288,0.018245349806613242,-0.06380701816374877,0.00314364753244188,0.37649341435791955,2.8916887064424532
inne zobowiązania krótkoterminowe,4.5413252531373166e-17,1.0002458814851225,-0.0529344105241061,0.00021458880712055443,-0.047539056385159845,0.0004120764395180778,0.25690089906705615,5.897531976752465,-0.05486328099939856,0.0005359000305608329,-0.05419149694086119,0.00012327512879927992,0.03518033254780903,0.19864550719345206
inne zobowiązania długoterminowe,-7.859986015045356e-18,1.0002458814851931,-0.0627176481978051,0.0012634799985469416,-0.04505021051418659,0.01713351135845511,0.3064680683803552,5.86167425174899,-0.06785271628683445,0.0003237864753302724,-0.06446489512919354,0.002177199092835489,-0.0010053340860469795,0.07446788766147994
pozostałe przychody (koszty) podatkowe,1.0305314997503912e-16,1.0002458814851922,-0.0236495663608925,0.0,0.20352139038394826,9.061918127277494,-0.023196776430566134,1.0518758327721222e-05,-0.022956637904107426,0.0005036771886874471,-0.0236495663608925,0.0,-0.102702276811689,0.449951834132458
przepływy pieniężne z innych działalności inwestycyjnych,-3.1439944060181424e-17,1.0002458814851036,0.0400424487510811,0.0015001693759517827,0.019128166393598937,0.005856316841869771,-0.10611533974792546,5.929034592645153,0.0012908504693402347,0.000800663092938311,0.03902349808604417,0.0010249397515314051,-0.1306614697847899,0.4332457708695898
pozostałe składniki kapitału własnego,3.1439944060181424e-17,1.0002458814851296,-0.180104970480336,0.004256007874368805,-0.09904933445066365,0.047497539668816945,0.8061001164564786,4.890112412488747,-0.1891714615370791,0.0023843120109218866,-0.15365083002289284,0.011197381420360336,-0.18603657817820685,2.5223819790777022
przepływy pieniężne z innych działalności operacyjnych,-1.8339967368439164e-17,1.000245881485114,0.12560013440273415,0.0004693709691007524,0.03834536557562764,0.0058591698342985166,-0.31354569956603856,5.4676998935551335,0.004876666966768856,0.0005638254962566802,0.12316544028157334,0.0020996502240249863,-0.4851997045497687,3.4122765796979952
zobowiązanie podatkowe za okres,4.191992541357523e-17,1.000245881485117,-0.07866615024230052,0.00019586152239198929,-0.06477066914799708,0.0018651625720041156,0.35667913570850557,5.788388334574642,-0.08149717882132312,0.00012561168427014296,-0.07408003669611216,0.0010016914262932538,0.12693410893872753,0.48382459040907555
zysk/strata netto za okres,3.84265982957773e-17,1.0002458814851245,-0.1347747003109067,0.003299246572464518,-0.1336876929268485,0.03031906820368172,0.5958869803834759,4.6227145555775255,-0.14349658732602266,0.015094465903553643,-0.1295465980609744,0.004134372997012433,0.6083078125809317,8.012578756659792
przychód (koszt) podatkowy za okres,-5.239990676696904e-17,1.0002458814851303,0.0820315846953178,0.0001272621915298437,0.06954446233260414,0.0008973957349329659,-0.35933885428703993,5.672541751299133,0.08434153765163753,9.828933385024407e-05,0.07924669321190031,0.0003818774522132341,-0.2929620055803625,1.4903945361211621
